loan_id,client_id,agent_id,montant_principal,taux_interet,date_decaissement,date_echeance,duree_mois,statut,devise
LN00001,CLI0162,AGT019,405000,21.1,2020-02-02,2021-01-27,12,CLOSED,XOF
LN00002,CLI0154,AGT008,1440000,21.6,2020-11-28,2023-11-13,36,CLOSED,XOF
LN00003,CLI0197,AGT003,1275000,23.6,2024-03-27,2025-03-22,12,ACTIVE,EUR
LN00004,CLI0119,AGT020,1935000,23.3,2020-06-04,2021-11-26,18,ACTIVE,XOF
LN00005,CLI0016,AGT015,1250000,13.7,2023-07-22,2025-01-12,18,DEFAULTED,EUR
LN00006,CLI0096,AGT013,260000,17.9,2023-10-24,2026-10-08,36,CLOSED,XOF
LN00007,CLI0043,AGT013,1795000,18.1,2021-07-02,2022-06-27,12,CLOSED,XOF
LN00008,CLI0185,AGT001,2360000,15.1,2020-08-06,2021-02-02,6,CLOSED,XOF
LN00009,CLI0068,AGT014,1150000,16.9,2020-06-27,2021-06-22,12,ACTIVE,XOF
LN00010,CLI0046,AGT003,1510000,20.6,2021-12-25,2024-12-09,36,DEFAULTED,XOF
LN00011,CLI0150,AGT003,1825000,17.0,2022-04-27,2024-04-16,24,OVERPAID,XOF
LN00012,CLI0293,AGT013,465000,12.3,2022-12-03,2023-11-28,12,ACTIVE,XOF
LN00013,CLI0033,AGT009,1080000,15.7,2020-12-08,2022-11-28,24,ACTIVE,XOF
LN00014,CLI0127,AGT020,1560000,15.3,2024-01-16,2026-01-05,24,ACTIVE,XOF
LN00015,CLI0203,AGT013,2020000,13.3,2021-11-11,2024-10-26,36,ACTIVE,XOF
LN00016,CLI0154,AGT007,1225000,10.8,2021-10-18,2024-10-02,36,ACTIVE,XOF
LN00017,CLI0150,AGT019,1965000,13.2,2024-02-14,2026-02-03,24,ACTIVE,EUR
LN00018,CLI0187,AGT007,1500000,16.7,2020-08-21,2023-08-06,36,CLOSED,XOF
LN00019,CLI0237,AGT015,2005000,21.3,2023-12-21,2024-12-15,12,ACTIVE,EUR
LN00020,CLI0256,AGT008,670000,10.5,2020-10-12,2022-04-05,18,ACTIVE,EUR
LN00021,CLI0038,AGT016,1475000,16.5,2022-07-08,2025-06-22,36,DEFAULTED,EUR
LN00022,CLI0279,AGT018,1505000,22.6,2020-03-16,2021-09-07,18,ACTIVE,XOF
LN00023,CLI0182,AGT002,1430000,18.3,2020-12-06,2023-11-21,36,CLOSED,XOF
LN00024,CLI0221,AGT004,685000,16.2,2020-08-04,2021-01-31,6,ACTIVE,XOF
LN00025,CLI0229,AGT015,1940000,17.4,2022-02-05,2024-01-26,24,ACTIVE,XOF
LN00026,CLI0013,AGT010,1070000,23.4,2022-09-15,2023-03-14,6,ACTIVE,XOF
LN00027,CLI0179,AGT015,1970000,16.3,2021-09-30,2023-03-24,18,ACTIVE,XOF
LN00028,CLI0225,AGT011,215000,8.7,2024-01-18,2026-01-07,24,CLOSED,XOF
LN00029,CLI0176,AGT006,2330000,19.8,2023-08-20,2024-02-16,6,ACTIVE,XOF
LN00030,CLI0170,AGT015,620000,14.5,2023-02-20,2025-02-09,24,ACTIVE,EUR
LN00031,CLI0203,AGT007,1150000,14.9,2020-02-29,2023-02-13,36,ACTIVE,XOF
