repayment_id,loan_id,montant,date_paiement,statut_paiement
REP000001,LN00001,34000,2020-03-04,LATE
REP000002,LN00001,34000,2020-03-30,PAID
REP000003,LN00001,34000,2020-04-29,PAID
REP000004,LN00001,34000,2020-06-01,PAID
REP000005,LN00001,34000,2020-07-04,PAID
REP000006,LN00001,34000,2020-08-02,PAID
REP000007,LN00001,34000,2020-08-28,PAID
REP000008,LN00001,34000,2020-09-29,PAID
REP000009,LN00001,34000,2020-11-01,LATE
REP000010,LN00001,34000,2020-12-01,PAID
REP000011,LN00001,34000,2020-12-29,PAID
REP000012,LN00001,34000,2021-01-27,PAID
REP000013,LN00002,40000,2020-12-27,PAID
REP000014,LN00002,40000,2021-01-29,PAID
REP000015,LN00002,40000,2021-03-01,PAID
REP000016,LN00002,40000,2021-03-29,PAID
REP000017,LN00002,40000,2021-05-01,PAID
REP000018,LN00002,40000,2021-05-30,PAID
REP000019,LN00002,40000,2021-06-28,PAID
REP000020,LN00002,40000,2021-07-24,PAID
REP000021,LN00002,40000,2021-08-26,PAID
REP000022,LN00002,40000,2021-09-26,PAID
REP000023,LN00002,40000,2021-10-29,PAID
REP000024,LN00002,40000,2021-11-27,PAID
REP000025,LN00002,40000,2021-12-20,PAID
REP000026,LN00002,40000,2022-01-21,PAID
REP000027,LN00002,40000,2022-02-20,LATE
REP000028,LN00002,40000,2022-03-23,PAID
REP000029,LN00002,40000,2022-04-24,PAID
REP000030,LN00002,40000,2022-05-20,PAID
REP000031,LN00002,40000,2022-06-26,PAID
REP000032,LN00002,40000,2022-07-20,PAID
REP000033,LN00002,40000,2022-08-23,PAID
REP000034,LN00002,40000,2022-09-21,PAID
REP000035,LN00002,40000,2022-10-18,PAID
REP000036,LN00002,40000,2022-11-20,PAID
REP000037,LN00002,40000,2022-12-18,PAID
REP000038,LN00002,40000,2023-01-19,PAID
REP000039,LN00002,40000,2023-02-19,PAID
REP000040,LN00002,40000,2023-03-18,LATE
REP000041,LN00002,40000,2023-04-14,PAID
REP000042,LN00002,40000,2023-05-17,PAID
REP000043,LN00002,40000,2023-06-20,PAID
REP000044,LN00002,40000,2023-07-15,LATE
REP000045,LN00002,40000,2023-08-18,PAID
REP000046,LN00002,40000,2023-09-13,PAID
REP000047,LN00002,40000,2023-10-16,PAID
REP000048,LN00002,40000,2023-11-11,LATE
REP000049,LN00003,106000,2024-04-29,PAID
REP000050,LN00003,106000,2024-05-30,PAID
REP000051,LN00003,106000,2024-06-29,PAID
REP000052,LN00003,106000,2024-07-25,PAID
REP000053,LN00003,106000,2024-08-25,PAID
REP000054,LN00004,107500,2020-07-07,PAID
REP000055,LN00004,107500,2020-08-03,PAID
REP000056,LN00004,107500,2020-09-03,PAID
REP000057,LN00004,107500,2020-10-02,PAID
REP000058,LN00004,107500,2020-11-04,PAID
REP000059,LN00004,107500,2020-11-28,PAID
REP000060,LN00004,107500,2021-01-01,PAID
REP000061,LN00004,107500,2021-02-03,PAID
REP000062,LN00005,69500,2023-08-25,PAID
REP000063,LN00005,69500,2023-09-24,PAID
REP000064,LN00006,7000,2023-11-25,PAID
REP000065,LN00006,7000,2023-12-26,PAID
REP000066,LN00006,7000,2024-01-25,PAID
REP000067,LN00006,7000,2024-02-22,PAID
REP000068,LN00006,7000,2024-03-27,PAID
REP000069,LN00006,7000,2024-04-23,PAID
REP000070,LN00006,7000,2024-05-25,PAID
REP000071,LN00006,7000,2024-06-17,LATE
REP000072,LN00006,7000,2024-07-25,PAID
REP000073,LN00006,7000,2024-08-20,PAID
REP000074,LN00006,7000,2024-09-20,PAID
REP000075,LN00006,7000,2024-10-23,LATE
REP000076,LN00006,7000,2024-11-16,PAID
REP000077,LN00006,7000,2024-12-22,PAID
REP000078,LN00006,7000,2025-01-18,PAID
REP000079,LN00006,7000,2025-02-14,PAID
REP000080,LN00006,7000,2025-03-22,PAID
REP000081,LN00006,7000,2025-04-17,PAID
REP000082,LN00006,7000,2025-05-13,PAID
REP000083,LN00006,7000,2025-06-19,PAID
REP000084,LN00006,7000,2025-07-16,PAID
REP000085,LN00006,7000,2025-08-17,PAID
REP000086,LN00006,7000,2025-09-14,PAID
REP000087,LN00006,7000,2025-10-14,PAID
REP000088,LN00006,7000,2025-11-15,PAID
REP000089,LN00006,7000,2025-12-14,PAID
REP000090,LN00006,7000,2026-01-15,PAID
REP000091,LN00006,7000,2026-02-09,PAID
